,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
0,29.0,4,135.0,84.0,2525.0,16.0,82,1
1,31.9,4,89.0,71.0,1925.0,14.0,79,2
2,19.0,6,156.0,108.0,2930.0,15.5,76,3
3,28.0,4,90.0,75.0,2125.0,14.5,74,1
4,37.7,4,89.0,62.0,2050.0,17.3,81,3
5,27.0,4,151.0,90.0,2735.0,18.0,82,1
6,16.0,6,250.0,105.0,3897.0,18.5,75,1
7,11.0,8,350.0,180.0,3664.0,11.0,73,1
8,26.0,4,121.0,113.0,2234.0,12.5,70,2
9,18.2,8,318.0,135.0,3830.0,15.2,79,1
10,16.5,6,168.0,120.0,3820.0,16.7,76,2
11,30.9,4,105.0,75.0,2230.0,14.5,78,1
12,27.0,4,97.0,88.0,2130.0,14.5,70,3
13,14.0,8,350.0,165.0,4209.0,12.0,71,1
14,18.0,6,232.0,100.0,2945.0,16.0,73,1
15,26.0,4,96.0,69.0,2189.0,18.0,72,2
16,32.1,4,98.0,70.0,2120.0,15.5,80,1
17,24.5,4,98.0,60.0,2164.0,22.1,76,1
18,28.1,4,141.0,80.0,3230.0,20.4,81,2
19,32.7,6,168.0,132.0,2910.0,11.4,80,3
20,19.0,4,122.0,85.0,2310.0,18.5,73,1
21,15.0,8,302.0,130.0,4295.0,14.9,77,1
22,26.0,4,108.0,93.0,2391.0,15.5,74,3
23,17.0,8,305.0,130.0,3840.0,15.4,79,1
24,23.0,4,151.0,101.2974358974359,3035.0,20.5,82,1
25,19.8,6,200.0,85.0,2990.0,18.2,79,1
26,13.0,8,400.0,175.0,5140.0,12.0,71,1
27,36.0,4,135.0,84.0,2370.0,13.0,82,1
28,17.0,6,250.0,100.0,3329.0,15.5,71,1
29,38.0,6,262.0,85.0,3015.0,17.0,82,1
30,31.5,4,98.0,68.0,2045.0,18.5,77,3
31,16.0,6,250.0,100.0,3781.0,17.0,74,1
32,31.5,4,89.0,71.0,1990.0,14.9,78,2
33,39.1,4,79.0,58.0,1755.0,16.9,81,3
34,24.0,4,121.0,110.0,2660.0,14.0,73,2
35,32.0,4,71.0,65.0,1836.0,21.0,74,3
36,15.0,6,258.0,110.0,3730.0,19.0,75,1
37,33.8,4,97.0,67.0,2145.0,18.0,80,3
38,31.3,4,120.0,75.0,2542.0,17.5,80,3
39,23.0,4,140.0,78.0,2592.0,18.5,75,1
40,43.1,4,90.0,48.0,1985.0,21.5,78,2
41,27.2,4,135.0,84.0,2490.0,15.7,81,1
42,22.0,6,232.0,112.0,2835.0,14.7,82,1
43,19.0,6,232.0,100.0,2901.0,16.0,74,1
44,22.0,4,122.0,86.0,2395.0,16.0,72,1
45,23.0,4,140.0,83.0,2639.0,17.0,75,1
46,13.0,8,350.0,165.0,4274.0,12.0,72,1
47,20.6,6,225.0,110.0,3360.0,16.6,79,1
48,35.1,4,81.0,60.0,1760.0,16.1,81,3
49,44.6,4,91.0,67.0,1850.0,13.8,80,3
50,25.0,4,116.0,81.0,2220.0,16.9,76,2
51,16.0,6,250.0,100.0,3278.0,18.0,73,1
52,31.0,4,119.0,82.0,2720.0,19.4,82,1
53,31.0,4,112.0,85.0,2575.0,16.2,82,1
54,25.0,4,140.0,92.0,2572.0,14.9,76,1
55,27.2,4,119.0,97.0,2300.0,14.7,78,3
56,13.0,8,360.0,175.0,3821.0,11.0,73,1
57,30.0,4,88.0,76.0,2065.0,14.5,71,2
58,9.0,8,304.0,193.0,4732.0,18.5,70,1
59,34.0,4,108.0,70.0,2245.0,16.9,82,3
60,25.0,4,90.0,71.0,2223.0,16.5,75,2
61,21.5,4,121.0,110.0,2600.0,12.8,77,2
62,38.1,4,89.0,60.0,1968.0,18.8,80,3
63,14.0,8,351.0,148.0,4657.0,13.5,75,1
64,23.0,4,120.0,97.0,2506.0,14.5,72,3
65,34.3,4,97.0,78.0,2188.0,15.8,80,2
66,22.0,4,140.0,72.0,2408.0,19.0,71,1
67,15.5,8,350.0,170.0,4165.0,11.4,77,1
68,16.0,8,302.0,140.0,4141.0,14.0,74,1
69,14.0,8,454.0,220.0,4354.0,9.0,70,1
70,26.0,4,98.0,79.0,2255.0,17.7,76,1
71,28.0,4,116.0,90.0,2123.0,14.0,71,2
72,32.9,4,119.0,100.0,2615.0,14.8,81,3
73,30.0,4,135.0,84.0,2385.0,12.9,81,1
74,25.0,6,181.0,110.0,2945.0,16.4,82,1
75,15.0,8,429.0,198.0,4341.0,10.0,70,1
76,23.0,4,120.0,88.0,2957.0,17.0,75,2
77,14.0,8,302.0,140.0,4638.0,16.0,74,1
78,24.2,6,146.0,120.0,2930.0,13.8,81,3
79,19.0,6,232.0,90.0,3211.0,17.0,75,1
80,27.0,4,97.0,60.0,1834.0,19.0,71,2
81,15.0,8,318.0,150.0,3777.0,12.5,73,1
82,22.0,6,250.0,105.0,3353.0,14.5,76,1
83,18.0,8,307.0,130.0,3504.0,12.0,70,1
84,15.0,8,383.0,170.0,3563.0,10.0,70,1
85,39.0,4,86.0,64.0,1875.0,16.4,81,1
86,26.0,4,79.0,67.0,1963.0,15.5,74,2
87,34.0,4,112.0,88.0,2395.0,18.0,82,1
88,23.0,4,122.0,86.0,2220.0,14.0,71,1
89,31.8,4,85.0,65.0,2020.0,19.2,79,3
90,29.0,4,90.0,70.0,1937.0,14.2,76,2
91,26.4,4,140.0,88.0,2870.0,18.1,80,1
92,25.5,4,122.0,96.0,2300.0,15.5,77,1
93,20.8,6,200.0,85.0,3070.0,16.7,78,1
94,34.4,4,98.0,65.0,2045.0,16.2,81,1
95,16.5,8,351.0,138.0,3955.0,13.2,79,1
96,24.0,4,120.0,97.0,2489.0,15.0,74,3
97,30.5,4,97.0,78.0,2190.0,14.1,77,2
98,34.5,4,105.0,70.0,2150.0,14.9,79,1
99,14.0,8,318.0,150.0,4077.0,14.0,72,1
100,37.0,4,85.0,65.0,1975.0,19.4,81,3
101,29.8,4,89.0,62.0,1845.0,15.3,80,2
102,26.0,4,91.0,70.0,1955.0,20.5,71,1
103,20.0,4,140.0,90.0,2408.0,19.5,72,1
104,18.1,6,258.0,120.0,3410.0,15.1,78,1
105,31.0,4,76.0,52.0,1649.0,16.5,74,3
106,15.5,8,318.0,145.0,4140.0,13.7,77,1
107,19.0,4,121.0,112.0,2868.0,15.5,73,2
108,18.0,6,250.0,105.0,3459.0,16.0,75,1
109,28.4,4,151.0,90.0,2670.0,16.0,79,1
110,26.0,4,97.0,78.0,2300.0,14.5,74,2
111,20.6,6,231.0,105.0,3380.0,15.8,78,1
112,20.0,6,225.0,100.0,3651.0,17.7,76,1
113,34.5,4,100.0,101.2974358974359,2320.0,15.8,81,2
114,22.0,6,146.0,97.0,2815.0,14.5,77,3
115,30.0,4,146.0,67.0,3250.0,21.8,80,2
116,17.5,6,258.0,95.0,3193.0,17.8,76,1
117,33.5,4,85.0,70.0,1945.0,16.8,77,3
118,12.0,8,350.0,160.0,4456.0,13.5,72,1
119,24.0,4,90.0,75.0,2108.0,15.5,74,2
120,13.0,8,318.0,150.0,3940.0,13.2,76,1
121,21.0,4,140.0,72.0,2401.0,19.5,73,1
122,33.0,4,105.0,74.0,2190.0,14.2,81,2
123,41.5,4,98.0,76.0,2144.0,14.7,80,2
124,23.0,4,97.0,54.0,2254.0,23.5,72,2
125,16.0,8,351.0,149.0,4335.0,14.5,77,1
126,18.0,4,121.0,112.0,2933.0,14.5,72,2
127,35.0,4,122.0,88.0,2500.0,15.1,80,2
128,17.0,6,231.0,110.0,3907.0,21.0,75,1
129,23.5,6,173.0,110.0,2725.0,12.6,81,1
130,18.1,8,302.0,139.0,3205.0,11.2,78,1
131,31.0,4,79.0,67.0,2000.0,16.0,74,2
132,15.0,8,350.0,145.0,4082.0,13.0,73,1
133,17.6,8,302.0,129.0,3725.0,13.4,79,1
134,30.5,4,98.0,63.0,2051.0,17.0,77,1
135,36.4,5,121.0,67.0,2950.0,19.9,80,2
136,20.0,6,156.0,122.0,2807.0,13.5,73,3
137,25.8,4,156.0,92.0,2620.0,14.4,81,1
138,19.1,6,225.0,90.0,3381.0,18.7,80,1
139,20.0,8,262.0,110.0,3221.0,13.5,75,1
140,34.7,4,105.0,63.0,2215.0,14.9,81,1
141,10.0,8,307.0,200.0,4376.0,15.0,70,1
142,24.0,4,134.0,96.0,2702.0,13.5,75,3
143,34.2,4,105.0,70.0,2200.0,13.2,79,1
144,26.0,4,97.0,46.0,1835.0,20.5,70,2
145,40.9,4,85.0,101.2974358974359,1835.0,17.3,80,2
146,28.0,4,151.0,90.0,2678.0,16.5,80,1
147,21.0,6,231.0,110.0,3039.0,15.0,75,1
148,17.5,8,318.0,140.0,4080.0,13.7,78,1
149,22.0,6,225.0,100.0,3233.0,15.4,76,1
150,18.0,6,232.0,100.0,2789.0,15.0,73,1
151,14.0,8,351.0,153.0,4154.0,13.5,71,1
152,25.5,4,140.0,89.0,2755.0,15.8,77,1
153,13.0,8,350.0,155.0,4502.0,13.5,72,1
154,28.0,4,97.0,92.0,2288.0,17.0,72,3
155,31.0,4,71.0,65.0,1773.0,19.0,71,3
156,22.4,6,231.0,110.0,3415.0,15.8,81,1
157,23.9,4,119.0,97.0,2405.0,14.9,78,3
158,32.0,4,83.0,61.0,2003.0,19.0,74,3
159,18.0,6,250.0,88.0,3139.0,14.5,71,1
160,32.0,4,135.0,84.0,2295.0,11.6,82,1
161,32.0,4,144.0,96.0,2665.0,13.9,82,3
162,20.0,6,232.0,100.0,2914.0,16.0,75,1
163,12.0,8,383.0,180.0,4955.0,11.5,71,1
164,18.6,6,225.0,110.0,3620.0,18.7,78,1
165,13.0,8,302.0,130.0,3870.0,15.0,76,1
166,26.5,4,140.0,72.0,2565.0,13.6,76,1
167,25.0,4,104.0,95.0,2375.0,17.5,70,2
168,28.0,4,140.0,90.0,2264.0,15.5,71,1
169,29.5,4,98.0,68.0,2135.0,16.6,78,3
170,14.0,8,440.0,215.0,4312.0,8.5,70,1
171,21.5,3,80.0,110.0,2720.0,13.5,77,3
172,32.8,4,78.0,52.0,1985.0,19.4,78,3
173,33.7,4,107.0,75.0,2210.0,14.4,81,3
174,15.0,8,390.0,190.0,3850.0,8.5,70,1
175,25.0,4,98.0,101.2974358974359,2046.0,19.0,71,1
176,29.8,4,134.0,90.0,2711.0,15.5,80,3
177,23.9,8,260.0,90.0,3420.0,22.2,79,1
178,19.4,8,318.0,140.0,3735.0,13.2,78,1
179,25.1,4,140.0,88.0,2720.0,15.4,78,1
180,35.0,4,72.0,69.0,1613.0,18.0,71,3
181,21.5,6,231.0,115.0,3245.0,15.4,79,1
182,17.5,8,305.0,145.0,3880.0,12.5,77,1
183,17.7,6,231.0,165.0,3445.0,13.4,78,1
184,11.0,8,400.0,150.0,4997.0,14.0,73,1
185,18.0,6,232.0,100.0,3288.0,15.5,71,1
186,27.0,4,151.0,90.0,2950.0,17.3,82,1
187,15.0,8,318.0,150.0,4135.0,13.5,72,1
188,24.0,4,113.0,95.0,2278.0,15.5,72,3
189,36.0,4,105.0,74.0,1980.0,15.3,82,2
190,27.4,4,121.0,80.0,2670.0,15.0,79,1
191,18.0,6,199.0,97.0,2774.0,15.5,70,1
192,13.0,8,400.0,150.0,4464.0,12.0,73,1
193,19.0,6,232.0,100.0,2634.0,13.0,71,1
194,40.8,4,85.0,65.0,2110.0,19.2,80,3
195,20.2,8,302.0,139.0,3570.0,12.8,78,1
196,16.0,8,304.0,150.0,3433.0,12.0,70,1
197,43.4,4,90.0,48.0,2335.0,23.7,80,2
198,26.0,4,98.0,90.0,2265.0,15.5,73,2
